title,author,publisher,publishedAt,image,isbn
안드로이드 앱 프로그래밍(Do it!)(전면개정판 5판),정재곤,이지스퍼블리싱,2018-02-09,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1648261%3Ftimestamp%3D20200717133418,9791188612833
Do it! 리액트 프로그래밍 정석,박호준,이지스퍼블리싱,2020-02-07,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5237693%3Ftimestamp%3D20210706194546,9791163031451
The 친절한 코틀린 앱 프로그래밍(정박사의 IT 책장 3),정재곤,책장,2021-01-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5550980%3Ftimestamp%3D20210706194606,9791195418923
Effective Modern C++,Scott Meyers,,2014-12-12,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5354286,9781491903995
나는 심플하게 말한다,이동우,다산북스,2019-08-13,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5036350%3Ftimestamp%3D20210706194345,9791130623610
IT 전문가로 사는 법,장동인,한빛미디어,2016-11-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F943402%3Ftimestamp%3D20210103144912,9788968484711
도널드 노먼의 UX 디자인 특강,도널드 노먼,유엑스리뷰(UX REVIEW),2018-04-05,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1648450%3Ftimestamp%3D20210706194312,9791188314027
Data-Driven UX,포그리트,포그리트,2019-03-08,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4915966%3Ftimestamp%3D20210706195139,9791196342807
모바일 UI/UX 디자인 실무(IT CookBook 237),이영주,한빛아카데미,2018-07-09,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1569693%3Ftimestamp%3D20210706192516,9791156644088
은하수를 여행하는 히치하이커를 위한 안내서(합본),더글러스 애덤스,책세상,2005-12-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F955342%3Ftimestamp%3D20210706193709,9788970135472
